,Prum_name,humerus,radius,carpometacarpus,femur,tibiotarsus,tarsometatarsus,ontogeny,Genus,Species,Family,Order,Mass_M_.hbw_alive.,Mass_F_.hbw_alive.,R_name
122,Rollulus_rouloul,38.2658046484119,34.4647358365285,18.9041660491003,45.7666288314557,60.5649812239899,41.6876933387807,Precocial_2,Rollulus,rouloul,Phasianidae,Galliformes,262.5,250,Rollulus_rouloul_NHMUK_1871.7.20.87
123,Rostratula_benghalensis,39.3060032164286,40.590766170291,22.9967913562575,30.1029685206368,55.737061500996,39.4376574198172,Precocial_2,Rostratula,benghalensis,Rostratulidae,Charadriiformes,145,145,Rostratula_benghalensis_FMNH_319933
124,Rupicola_rupicola,45.4276804771879,54.4406815968219,28.8861680472821,38.7641885726051,57.8347637590924,36.0762018503246,Altricial_2,Rupicola,peruvianus,Cotingidae,Passeriformes,266,219.5,Rupicola_peruviana_UMMZ_119210
125,Rynchops_niger,71.1327419489591,81.188619685648,41.4171827812867,31.1176259285966,52.3629231830128,28.6733119912801,Semiprecocial,Rynchops,niger,Laridae,Charadriiformes,341,263.5,Rynchops_niger_FMNH_376309
126,Sagittarius_serpentarius,173.762394519011,168.923212183918,78.6718835026066,99.9461690297001,260.23900659176,256.675976141069,Semialtricial,Sagittarius,serpentarius,Sagittariidae,Accipitriformes,3285,3285,Sagittarius_serpentarius_NHMUK_1898.5.7.1
127,Sclerurus_mexicanus,20.1497372256504,20.5696675021088,11.840186430109,17.9003652290588,27.0950605911084,21.8787923065124,Altricial_2,Sclerurus,mexicanus,Furnariidae,Passeriformes,27,27,Sclerurus_mexicanus_FMNH_321715
128,Scopus_umbretta,81.4563979025949,95.0779196364476,38.3560935986681,41.4267489912719,95.6897040450006,63.3202374356098,Semialtricial,Scopus,umbretta,Scopidae,Pelecaniformes,422.5,422.5,Scopus_umbretta_FMNH_313701_
129,Spheniscus_humboldti,61.7774711540155,45.6204749868586,37.4354891255623,74.8392559054654,105.722095409594,27.7514839019749,Altricial_1,Spheniscus,humboldti,Spheniscidae,Sphenisciformes,4350,4350,Spheniscus_humboldti_NHMUK_S_2000.7.1
130,Sterna_hirundo,53.9587373119505,60.1986759724491,31.858088771914,22.9601060405231,38.9629058729174,19.3512824487058,Semiprecocial,Sterna,hirundo,Laridae,Charadriiformes,121.5,121.5,Sterna_hirundo_NHMUK_NHMUK_S_1975.65.4
131,Streptoprocne_zonaris,20.766021070876,26.167023830824,25.2128154635365,25.7149470563004,39.9391285067009,20.7333059159944,Altricial_2,Streptoprocne,zonaris,Apodidae, Apodiformes,96.375,96.375,Streptoprocne_zonaris_FMNH_85767
132,Strix_varia,77.6695796298642,78.2999798262976,38.7386608999141,56.2105416484203,76.8902129339668,42.8814562049859,Altricial_1,Strix,aluco,Strigidae,Strigiformes,440,553,Strix_aluco_NHMUK_S2001.38
133,Morus_serrator,170.537759856252,172.454253218931,71.1915344241813,54.4342874725651,78.7950804442312,46.2815186256729,Altricial_2,Sula,dactylatra,Sulidae,Suliformes,1450,1555,Sula_dactylatra_NHMUK_1890.11.3.10
134,Sylvia_melanocephala,15.3745165822606,16.7969614272362,11.2593316916577,16.9816608718281,28.3297404012896,20.291007529535,Altricial_2,Sylvia,borin,Sylviidae, Passeriformes,19,19,Sylvia_borin_FMNH_385185
135,Terenura_callinota,11.06502188303,10.8509408098977,6.2779834051922,10.9238430872382,17.7684658343665,13.8905447117883,Altricial_2,Terenura,spodioptila,Thamnophilidae, Passeriformes,7,7,Terenura_spodioptila_FMNH_344009
136,Tigrisoma_lineatum,101.271670016555,111.683759328332,50.3885559012773,75.6358138406076,124.682221932474,89.422367300059,Semialtricial,Tigrisoma,lineatum,Ardeidae,Pelecaniformes,840,840,Tigrisoma_lineatum_FMNH_105528
137,Tityra_cayana,28.769162978584,34.8194526042926,20.9039439187463,25.7765354731701,38.0131762717901,26.2650333136068,Altricial_2,Tityra,semifasciata,Tityridae,Passeriformes,82.55,82.55,Tityra_semifasciata_NHMUK_1891.7.20.15
138,Tockus_camurus,52.1162822878456,68.3420964867553,29.9822042133095,38.3842080436717,54.0820055610841,34.8621585435123,Altricial_2,Tockus,nasutus,Bucerotidae,Bucerotiformes,215,189,Tockus_nasutus_NHMUK_S_1989.2.2
139,Todus_mexicanus,12.4523116218312,15.3225193374012,6.42255232571685,9.52589170561625,15.734424397412,12.4954033279163,Altricial_2,Todus,mexicanus,Todidae,Coraciiformes,6.4,5.65,Todus_mexicanus_FMNH_351174
140,Topaza_pella,6.78460581766048,6.31602218246364,7.88890100015242,11.3423412017644,14.146578184317,5.76460584965257,Altricial_2,Topaza,pyra,Trochilidae,Apodiformes,14.5,11.1,Topaza_pyra_FMNH_318845
141,Treron_calvus,47.1822375345226,51.9634780576004,28.5810136692868,44.1571079700533,54.2885455937323,26.4877831060004,Altricial_1,Treron,capellei,Columbidae,Columbiformes,455.5,455.5,Treron_capellei_UMMZ_220454
142,Tringa_solitaria,33.6640126836562,35.9712293001159,21.9803004988233,23.4652387277371,46.558079768165,31.8650918132621,Precocial_1,Tringa,ochrophus,Scolopacidae,Charadriiformes,86,86,Tringa_ochrophus_FMNH_368850
143,Trogon_elegans,38.5611243715865,40.4997159307423,18.8487418381764,24.1459684338041,31.3492403079496,13.9361092859592,Altricial_2,Trogon,melanurus,Trogonidae, Passeriformes,87,87,Trogon_melanurus_FMNH_290496
144,Turdus_olivater,28.2085133220063,31.2136735956799,19.1416199475459,28.979926522501,47.0777199485694,34.6395410436118,Altricial_2,Turdus,olivater,Turdidae, Passeriformes,80.5,80.5,Turdus_olivater_FMNH_319675
145,Turnix_ocellata,29.3413789064392,26.9169897275017,15.6489566434367,28.8334366333423,35.8385563527308,19.0448796644357,Precocial_2,Turnix,varius,Turnicidae,Charadriiformes,73.5,103,Turnix_varius_NHMUK_S1952.2.142
146,Tyrannus_albogularis,23.44152002651,30.8310373613011,16.8316677320161,18.1243112062736,27.7179947619728,18.1532390956917,Altricial_2,Tyrannus,tyrannus,Tyrannidae, Passeriformes,41,41,Tyrannus_tyrannus_FMNH_487521
147,Tyto_alba,77.6627003550654,81.0835372048614,37.7032935788998,47.2591027178496,77.2505184105131,57.2579015407716,Altricial_1,Tyto,alba,Tytonidae,Strigiformes,550,550,Tyto_alba_NHMUK_S1989.22.1_
148,Upupa_epops,37.5684127133316,43.02390914243,19.3537860922389,23.9953931274886,35.8169108725614,22.6733260622401,Altricial_2,Upupa,epops,Upupidae,Bucerotiformes,67.5,67.5,Upupa_epops_FMNH_352821
149,Vultur_gryphus,254.474909173291,282.637203143157,122.311426158343,130.600628194863,210.905867023936,114.463393411516,Semialtricial,Vultur,gryphus,Cathartidae,Accipitriformes,13000,9500,Vultur_gryphus_NHMUK_S1955.5.11
