,Prum_name,humerus,radius,carpometacarpus,femur,tibiotarsus,tarsometatarsus,ontogeny,Genus,Species,Family,Order,Mass_M_.hbw_alive.,Mass_F_.hbw_alive.,R_name
39,Climacteris_melanura,19.6424719660568,21.0004756265711,13.6289597056154,18.1001631288879,31.6688858164999,21.9767050836946,Altricial_2,Climacteris,melanura,Climacteridae,Passeriformes,32,32,Climacteris_melanura_UMMZ_214303
40,Colinus_cristatus,32.0982751726883,26.1953699498666,17.1387053824206,37.2892945034299,50.1775672908814,28.4942512016878,Precocial_1,Colinus,virginianus,Odontophoridae,Galliformes,188.5,193,Colinus_virginianus_FMNH_105065
41,Urocolius_indicus,20.0568497516592,19.1568158663961,12.9803250352144,20.3663204194971,27.720654757407,17.924045772471,Altricial_2,Urocolius,macrourus,Coliidae,Coliiformes,49.5,49.5,Colius_macrourus_FMNH_368959_
42,Colius_colius,21.5025145332529,16.3236222759291,10.8891703419271,20.7011383684993,30.2207185787637,20.852155766046,Altricial_2,Colius,striatus,Coliidae,Coliiformes,52.5,52.5,Colius_striatus_FMNH_384817
43,Columba_livia,42.8404576807616,46.6150052013298,30.3330978241595,38.8317012102902,55.657585716974,28.9264087137722,Altricial_1,Columba,palumbus,Columbidae,Columbiformes,487,487,Columba_palumbus_UMZC_409A_
44,Columbina_minuta,17.2269820852375,18.5713396128627,10.2293270812781,18.334742286116,23.0330435599686,13.2300526066165,Altricial_1,Columbina,minutas,Columbidae, Columbiformes,34.1,34.1,Columbina_minuta_FMNH_289160
45,Coracias_cyanogaster,73.0082850477577,82.168135693712,36.7830147816511,41.4933569620586,57.2670724953463,32.9215306794896,Altricial_2,Coracias,benghalensis,Coraciidae,Coraciiformes,171,171,Coracias_benghalensis_NHMUK_S1987.19.15
46,Corvus_albus,61.0185759415661,68.6234005348286,42.5401544977375,48.0713123549185,80.189171686387,57.0294493088966,Altricial_2,Corvus,brachyrhynchos,Corvidae,Passeriformes,412.5,412.5,Corvus_brachyrhynchos_FMNH_441515_
47,Crax_alector,109.666015077231,106.995341119203,53.2867588608282,109.40181655924,166.124520285625,112.722626804992,Precocial_3,Crax,mitu, Cracidae,Galliformes,2960,2745,Crax_mitu_FMNH_320386
48,Cryptopipo_holochlora,15.2333323985088,17.5001233541599,9.54483402449612,13.0973643196064,18.7072447850293,13.4202366273907,Altricial_2,Chloropipio,holochlora,Pipridae,Passeriformes,17.5,17.5,Chloropipio_holochlora_FMNH_288169
49,Crypturellus_tataupa,35.5438516647591,34.1044481598977,18.8969197250069,40.4982916070165,53.7238527345124,33.9062836210897,Precocial_1,Crypturellus,tataupa,Tinamidae,Tinamiformes,199,243.5,Crypturellus_tataupa_UMMZ_201948
50,Cuculus_optatus,33.7009902968322,33.3836304255618,16.1427443346388,24.7845758149684,33.5103806428316,18.8281777705524,Altricial_2,Cuculus,fugax,Cuculidae,Cuculiformes,69.25,69.25,Cuculus_fugax_FMNH_357420
51,Dendrocygna_viduata,101.427428615428,102.246028290507,47.4765406260604,50.6668324213847,91.1098003436505,52.6963305627924,Precocial_1,Dendrocygna,bicolor,Anatidae, Anseriformes,745,750,Dendrocygna_bicolor_UMMZ_219885_
52,Deroptyus_accipitrinus,45.8026739208831,50.7596048142889,28.0603535823249,38.3219765740015,51.8458256707284,17.4811474268704,Altricial_2,Deroptyus,accipitrinus,Psittacidae,Psittaciformes,245,245,Deroptyus_accipitrinus_NHMUK_S2002.14.2
53,Phoebastria_nigripes,298.305379398858,287.456302508752,101.633929384886,81.7705700152812,163.893059664944,93.3893138062301,Altricial_1,Diomedea,irrorata,Diomedeidae,Procellariiformes,3750,3040,Diomedea_irrorata_NHMUK_S1963.28.4
54,Elaenia_flavogaster,19.308381717067,22.1855479622774,11.7990574585943,17.8036653363505,27.75353992197,20.2180829820359,Altricial_2,Elaenia,flavogaster,Tyrannidae, Passeriformes,25,25,Elaenia_flavogaster_FMNH_394495
55,Elanus_leucurus,77.1986054243928,85.0908275154173,40.8434821243098,47.8116892301934,60.9487352873563,32.7715009723736,Semialtricial,Elanus,caerulenus,Accipitridae,Accipitriformes,237,281,Elanus_caerulenus_NHMUK_1850.8.15.159
56,Eudromia_elegans,62.3484187178752,61.1262160637929,34.568242026056,55.6997993662146,75.2893002900798,47.8404103108573,Precocial_1,Eudromia,elegans, Tinamidae, Tinamiformes,647,647,Eudromia_elegans_UMMZ_156966
57,Eurypyga_helias,54.3288775538799,53.9308182416855,27.734493163819,35.8000815442097,62.7504403859762,52.1972361883872,Precocial_3,Eurypyga,helias,Eurypygidae,Eurypygiformes,241.75,241.75,Eurypyga_helias_FMNH_317341
58,Falco_sparverius,40.2790643707325,41.1093530116708,25.4356200579375,34.5527019831794,45.4675617122553,33.3252299577051,Semialtricial,Falco,sparverius,Falconidae,Falconiformes,111.5,124.5,Falco_sparverius_UMMZ_154462
59,Fregata_magnificens,166.52859439735,219.688776142657,96.988335002018,45.2025443473376,63.3811048883083,17.4211954780666,Altricial_2,Fregata,aquila,Fregatidae,Suliformes,1250,1250,Fregata_aquila_NHMUK_1890.11.3.3
