,Order,Family,Species,JetzTreeName,Humerus_length_mm,Ulna_length_mm,Radius_length_mm,Carpometacarpus_length_mm,Femur_length_mm,Tibiotarsus_length_mm,Tarsometatarsus_length_mm,Spec_no.,Reference,Body_mass_g,Foraging_niche,TrophicEcology,Habitat,Kipps.dist,Ontogeny,Magnificent7
1,Accipitriformes,Accipitridae,Aquila_chrysaetos,Aquila_chrysaetos,189.8,209.9,219.3,102.9,127.4,168.8,104.6,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-725",4248,Vertivore air to surface,Vertivore,Grassland,221.2,Semialtricial,Telluraves
2,Cathartiformes,Cathartidae,Cathartes_aura,Cathartes_aura,150,177.6,169.5,82.8,69.8,119.3,64.5,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-726",1518.2,Scavenger ground,Scavenger,Human Modified,135.6,Semialtricial,Telluraves
3,Cathartiformes,Cathartidae,Sarcoramphus_papa,Sarcoramphus_papa,169,210,197,89,100,165,99,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-727",3400,Scavenger ground,Scavenger,Forest,191.6,Semialtricial,Telluraves
4,Cathartiformes,Cathartidae,Gymnogyps_californicus,Gymnogyps_californianus,226,308,293,132,138.5,210,114.7,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-728",8442.7,Scavenger ground,Scavenger,Shrubland,323.5,Semialtricial,Telluraves
5,Cathartiformes,Cathartidae,Vultur_gryphus,Vultur_gryphus,280,340.6,326,139.5,153.1,243,130.1,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-729",11236.1,Scavenger ground,Scavenger,Grassland,350.5,Semialtricial,Telluraves
6,Cathartiformes,Cathartidae,Coragyps_atratus,Coragyps_atratus,134,156,146,75,85.8,141.5,82,Unknown,"Fisher H.I. 1946. Am.Mid.Nat., 35(3): 545-730",1881.7,Scavenger ground,Scavenger,Human Modified,58.4,Semialtricial,Telluraves
7,Charadriiformes,Alcidae,Aethia_cristatella,Aethia_cristatella,50.6,43.9,41.5,29,34.8,58.4,26.7,USNM_561934,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",259.4,Aquatic dive,Aquatic predator,Marine,61,Semiprecocial,Cursorimorphae
8,Charadriiformes,Alcidae,Aethia_psittacula,Aethia_psittacula,53.3,48.5,46.5,30,32.5,58.1,28.1,NCSM_14804,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",270,Aquatic dive,Aquatic predator,Marine,60.2,Semiprecocial,Cursorimorphae
9,Charadriiformes,Alcidae,Aethia_pusilla,Aethia_pusilla,35.6,30.5,29.1,20,22.4,41.1,19.8,NCSM_224009,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",84,Aquatic dive,Aquatic predator,Marine,37.7,Semiprecocial,Cursorimorphae
10,Charadriiformes,Alcidae,Aethia_pygmaea,Aethia_pygmaea,37.8,32.2,30.5,21.2,26.9,45.3,21.8,UMMZ_204592,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",112,Aquatic dive,Aquatic predator,Marine,45.8,Semiprecocial,Cursorimorphae
11,Charadriiformes,Alcidae,Alca_torda,Alca_torda,79.9,63.6,61.5,42.6,43,79.8,36,USNM_555666,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",726,Aquatic dive,Aquatic predator,Marine,116.5,Semiprecocial,Cursorimorphae
12,Charadriiformes,Alcidae,Alle_alle,Alle_alle,41.6,34.1,31.8,21.8,26.8,47.5,20.4,USNM_560932,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",180.7,Aquatic dive,Aquatic predator,Marine,59.5,Semiprecocial,Cursorimorphae
13,Charadriiformes,Alcidae,Cepphus_columba,Cepphus_columba,68.8,58.2,55.2,39.3,40.4,75.6,38.3,USNM_610936,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",530,Aquatic dive,Aquatic predator,Marine,69.2,Semiprecocial,Cursorimorphae
14,Charadriiformes,Alcidae,Cepphus_grylle,Cepphus_grylle,57.8,49.4,47,33,35,62.8,30,USNM_344753,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",378,Aquatic dive,Aquatic predator,Marine,66.5,Semiprecocial,Cursorimorphae
15,Charadriiformes,Alcidae,Fratercula_arctica,Fratercula_arctica,67.2,52.9,51.2,35.5,40.3,67.9,28.7,USNM_292346,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",593,Aquatic dive,Aquatic predator,Marine,83.8,Semiprecocial,Cursorimorphae
16,Charadriiformes,Alcidae,Ptychoramphus_aleuticus,Ptychoramphus_aleuticus,44.8,38.5,36.8,25.5,27.9,50.6,25.6,USNM_557611,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",184,Aquatic dive,Aquatic predator,Marine,49.2,Semiprecocial,Cursorimorphae
17,Charadriiformes,Alcidae,Uria_aalge,Uria_aalge,84.1,64.3,61.4,43.6,48.2,97,40.5,USNM_502349,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",991.9,Aquatic dive,Aquatic predator,Marine,111.2,Semiprecocial,Cursorimorphae
18,Charadriiformes,Alcidae,Uria_lomvia,Uria_lomvia,87.6,69.4,66.6,44.3,45.7,86.8,36.6,USNM_502358,"Smith N.A. & Clarke J.A., 2011. Orn.Mono., 72(1): 1-61.",964,Aquatic dive,Aquatic predator,Marine,106.8,Semiprecocial,Cursorimorphae
19,Struthioniformes,Apterygidae,Apteryx_owenii,Apteryx_owenii,39.2,NA,17.6,5.1,80.4,113.7,62.9,MCZ_308,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1238.3,Invertivore ground,Invertivore,Forest,0.1,Precocial_1,Palaeognathae
20,Struthioniformes,Struthionidae,Struthio_camelus,Struthio_camelus,395,NA,120,100,320,545,483,MCZ_2686,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",111000,NA,Omnivore,Shrubland,0.3,Precocial_2,Palaeognathae
21,Struthioniformes,Rheidae,Rhea_americana,Rhea_americana,260,NA,184,77,210,318,325,MCZ_2083,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",23000,NA,Omnivore,Grassland,0.3,Precocial_2,Palaeognathae
22,Struthioniformes,Casuariidae,Casuarius_bennetti,Casuarius_bennetti,69,NA,39,22,203,320,250,MCZ_display,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",35000,Fugivore ground,Frugivore,Forest,0.2,Precocial_1,Palaeognathae
23,Struthioniformes,Casuariidae,Dromaius_novaehollandiae,Dromaius_novaehollandiae,89,NA,65,43,227,415,385,MCZ_198,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",34093.3,NA,Omnivore,Grassland,0.1,Precocial_1,Palaeognathae
24,Tinamiformes,Tinamidae,Crypturellus_boucardi,Crypturellus_boucardi,49,NA,48.5,28.7,50.7,75.9,52,MCZ_2750,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",435.6,NA,Omnivore,Forest,41.4,Precocial_1,Palaeognathae
25,Tinamiformes,Tinamidae,Crypturellus_noctivagus,Crypturellus_noctivagus,58.2,NA,54.9,32.5,58,86.4,59.5,MCZ_276,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",562,NA,Omnivore,Forest,43.9,Precocial_1,Palaeognathae
26,Tinamiformes,Tinamidae,Nothura_maculosa,Nothura_maculosa,43.3,NA,41.3,24.7,42.4,62.3,39,MCZ_1653,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",257.5,NA,Omnivore,Grassland,30.9,Precocial_1,Palaeognathae
27,Tinamiformes,Tinamidae,Tinamus_major,Tinamus_major,75,NA,72.2,42.6,65,98.2,69,MCZ_2774,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1026.2,NA,Omnivore,Forest,51.3,Precocial_1,Palaeognathae
28,Tinamiformes,Tinamidae,Tinamus_tao,Tinamus_tao,80,NA,80.9,45.8,70,108,70.8,MCZ_3705,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1600.1,NA,Omnivore,Forest,47.3,Precocial_1,Palaeognathae
29,Podicipediformes,Podicipedidae,Aechomorphus_occidentalis,Aechmophorus_occidentalis,113.2,NA,98.3,50.7,44.7,110.8,68,MCZ_2951,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1137,Aquatic dive,Aquatic predator,Wetland,75.4,Precocial_3,Mirandornithes
30,Podicipediformes,Podicipedidae,Podiceps_auritus,Podiceps_auritus,77.8,NA,68.3,34.3,33.6,77,46.9,MCZ_6429,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",453,Aquatic dive,Aquatic predator,Wetland,57.2,Precocial_3,Mirandornithes
31,Podicipediformes,Podicipedidae,Podiceps_nigricollis,Podiceps_nigricollis,69.6,NA,63.4,31.9,31.7,66.6,41.7,MCZ_6070,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",412.4,Aquatic dive,Aquatic predator,Wetland,55.1,Precocial_3,Mirandornithes
32,Podicipediformes,Podicipedidae,Podilymbus_podiceps,Podilymbus_podiceps,79.3,NA,71.8,36.2,41.8,75.3,43.9,MCZ_1466,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",411.9,Aquatic dive,Aquatic predator,Wetland,41.8,Precocial_3,Mirandornithes
33,Gaviiformes,Gaviidae,Gavia_immer,Gavia_immer,198,NA,158,100.1,61.8,150,93.6,MCZ_1432,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",4956.8,Aquatic dive,Aquatic predator,Wetland,178,Precocial_3,Phaethoquornithes
34,Gaviiformes,Gaviidae,Gavia_stellata,Gavia_stellata,140.5,NA,111.4,76.7,36.7,113.6,70.9,MCZ_7009,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1486,Aquatic dive,Aquatic predator,Wetland,130.7,Precocial_3,Phaethoquornithes
35,Sphenisciformes,Spheniscidae,Aptenodytes_patagonicus,Aptenodytes_patagonicus,110,NA,82.2,68,92.9,170,43.2,MCZ_7208,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",11731.1,Aquatic dive,Aquatic predator,Marine,6.2,Altricial_1,Phaethoquornithes
36,Sphenisciformes,Spheniscidae,Eudyptes_chrysolophus,Eudyptes_chrysolophus,59.4,NA,44.2,35.3,63.3,108.3,26.1,MCZ_6022,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",4485.1,Aquatic dive,Aquatic predator,Marine,6.7,Altricial_1,Phaethoquornithes
37,Sphenisciformes,Spheniscidae,Eudyptes_chrysocome,Eudyptes_chrysocome,59.4,NA,44.4,37.9,66.5,105.6,27.2,MCZ_6428,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",2327.9,Aquatic dive,Aquatic predator,Marine,6.3,Altricial_1,Phaethoquornithes
38,Sphenisciformes,Spheniscidae,Eudyptula_minor,Eudyptula_minor,46.7,NA,31.3,25.3,52.2,77.2,23.6,MCZ_6025,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1107.8,Aquatic dive,Aquatic predator,Marine,3.8,Altricial_1,Phaethoquornithes
39,Sphenisciformes,Spheniscidae,Megadyptes_antipodes,Megadyptes_antipodes,73.7,NA,57.7,43.7,80.5,120.5,35.5,YPM_13392,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",5326.2,Aquatic dive,Aquatic predator,Marine,9,Altricial_1,Phaethoquornithes
40,Sphenisciformes,Spheniscidae,Spheniscus_demersus,Spheniscus_demersus,67.1,NA,47.6,39.9,70.4,101.1,28.5,YPM_15882,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",3130.1,Aquatic dive,Aquatic predator,Marine,3.6,Altricial_1,Phaethoquornithes
41,Sphenisciformes,Spheniscidae,Spheniscus_humboldti,Spheniscus_humboldti,69.2,NA,46.5,39.7,75.9,113.2,32.1,MCZ_7040,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",4366.4,Aquatic dive,Aquatic predator,Marine,4.6,Altricial_1,Phaethoquornithes
42,Sphenisciformes,Spheniscidae,Spheniscus_mendiculus,Spheniscus_mendiculus,54.2,NA,37.1,30.5,56.3,83.7,22.9,MCZ_3638,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1921.9,Aquatic dive,Aquatic predator,Marine,4,Altricial_1,Phaethoquornithes
43,Procellariiformes,Diomedeidae,Thalassarche_chrysostoma,Thalassarche_chrysostoma,264,NA,263,104,82,157,84,MCZ_5006,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",3499,Aquatic surface,Aquatic predator,Marine,341,Altricial_1,Phaethoquornithes
44,Procellariiformes,Diomedeidae,Diomedea_exulans,Diomedea_exulans,438,NA,447,150,109,224,126,MCZ_408,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",6961.3,Aquatic surface,Aquatic predator,Marine,417.8,Altricial_1,Phaethoquornithes
45,Procellariiformes,Diomedeidae,Phoebastria_immutabilis,Phoebastria_immutabilis,247,NA,256,99,78,154,89,MCZ_3050,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",3145.9,Aquatic surface,Aquatic predator,Marine,313,Altricial_1,Phaethoquornithes
46,Procellariiformes,Diomedeidae,Phoebastria_nigripes,Phoebastria_nigripes,287,NA,287,108,75,157,94,MCZ_2999,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",3188.4,Aquatic surface,Aquatic predator,Marine,313.2,Altricial_1,Phaethoquornithes
47,Procellariiformes,Diomedeidae,Phoebetria_fusca,Phoebetria_fusca,242,NA,230,98,97,165,93,MCZ_2949,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",2553.7,Aquatic surface,Aquatic predator,Marine,348.5,Altricial_1,Phaethoquornithes
48,Procellariiformes,Diomedeidae,Phoebetria_palpebrata,Phoebetria_palpebrata,235,NA,239,92,68,136,78,MCZ_2953,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",3150,Aquatic surface,Aquatic predator,Marine,361.2,Altricial_1,Phaethoquornithes
49,Procellariiformes,Procellariidae,Daption_capense,Daption_capense,97.5,NA,80.7,42.4,37.7,73.5,44.9,MCZ_3873,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",429.6,Aquatic surface,Aquatic predator,Marine,145.5,Altricial_1,Phaethoquornithes
50,Procellariiformes,Procellariidae,Fulmarus_glacialis,Fulmarus_glacialis,97.2,NA,90.3,47.5,41.8,76.4,44.6,MCZ_4079,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",611.9,Aquatic surface,Aquatic predator,Marine,162.5,Altricial_1,Phaethoquornithes
51,Procellariiformes,Oceanitidae,Fregetta_grallaria,Fregetta_grallaria,25.5,NA,21.5,17,17.5,47.5,36,MCZ_6756,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",50.6,Aquatic aerial,Aquatic predator,Marine,98.4,Altricial_1,Phaethoquornithes
52,Procellariiformes,Oceanitidae,Oceanites_oceanicus,Oceanites_oceanicus,22.5,NA,19.5,15.5,15,47,34,MCZ_2984,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",30.4,Aquatic aerial,Aquatic predator,Marine,86.6,Altricial_1,Phaethoquornithes
53,Procellariiformes,Hydrobatidae,Oceanodroma_leucorhoa,Oceanodroma_leucorhoa,37,NA,35,21,15.5,34.5,24,MCZ_7883,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",36.71,Aquatic aerial,NA,NA,NA,Semiprecocial,Phaethoquornithes
54,Procellariiformes,Procellariidae,Pelecanoides_urinatrix,Pelecanoides_urinatrix,56.9,NA,52.3,29.7,24.8,47,31,MCZ_1430,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",152.1,Aquatic dive,Aquatic predator,Marine,56.8,Altricial_1,Phaethoquornithes
55,Phaethontiformes,Phaethontidae,Phaethon_lepturus,Phaethon_lepturus,81.8,NA,83.3,42.3,29.1,43.8,22,MCZ_2073,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",328,Aquatic plunge,Aquatic predator,Marine,188.5,Altricial_1,Phaethoquornithes
56,Pelecaniformes,Pelecanidae,Pelecanus_erythrorhynchos,Pelecanus_erythrorhynchos,315,NA,347,143,108.4,183,126.4,MCZ_7480,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",5608.5,Aquatic surface,Aquatic predator,Wetland,251,Semialtricial,Phaethoquornithes
57,Pelecaniformes,Pelecanidae,Pelecanus_occidentalis,Pelecanus_occidentalis,271,NA,315,126,88.1,119.8,78.5,MCZ_1448,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",3427.8,Aquatic plunge,Aquatic predator,Marine,241,Semialtricial,Phaethoquornithes
58,Suliformes,Phalacrocoracidae,Phalacrocorax_auritus,Phalacrocorax_auritus,141.5,NA,144.3,67.9,60.9,98.5,60.6,MCZ_7537,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1806.49,Aquatic dive,NA,NA,NA,Altricial_2,Phaethoquornithes
59,Suliformes,Phalacrocoracidae,Phalacrocorax_bougainvillii,Phalacrocorax_bougainvillii,153.5,NA,163,67.6,56.5,107.5,60.7,MCZ_6953,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",2485,Aquatic dive,NA,NA,NA,Altricial_2,Phaethoquornithes
60,Suliformes,Phalacrocoracidae,Phalacrocorax_carbo,Phalacrocorax_carbo,160,NA,166,76.1,61.7,105.7,65,MCZ_1447,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",2529,Aquatic dive,Aquatic predator,Wetland,124.2,Altricial_2,Phaethoquornithes
61,Suliformes,Phalacrocoracidae,Phalacrocorax_urile,Phalacrocorax_urile,139.5,NA,146,65.7,64.2,107.4,57,MCZ_722,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",2117.66,Aquatic dive,NA,NA,NA,Altricial_2,Phaethoquornithes
62,Suliformes,Anhingidae,Anhinga_anhinga,Anhinga_anhinga,108,NA,103.1,60.5,54.4,80.2,40.9,MCZ_1483,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1235,Aquatic dive,Aquatic predator,Wetland,66.6,Altricial_2,Phaethoquornithes
63,Suliformes,Sulidae,Morus_bassanus,Morus_bassanus,218,NA,185,90.2,71.8,99.5,58.2,MCZ_3443,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",2998.7,Aquatic plunge,Aquatic predator,Marine,300.5,Altricial_2,Phaethoquornithes
64,Suliformes,Sulidae,Sula_variegata,Sula_variegata,153,NA,156,71,54.9,78.5,46.6,MCZ_6959,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1432.5,Aquatic plunge,Aquatic predator,Marine,204,Altricial_2,Phaethoquornithes
65,Suliformes,Fregatidae,Fregata_aquila,Fregata_aquila,186,NA,238,114,51,67,19,MCZ_1354,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1620,Aquatic aerial,Aquatic predator,Marine,363.8,Altricial_2,Phaethoquornithes
66,Pelecaniformes,Ardeidae,Ardea_cocoi,Ardea_cocoi,164,NA,174,82.8,92,228,152,MCZ_3706,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1752.4,Aquatic ground,Aquatic predator,Wetland,147.5,Semialtricial,Phaethoquornithes
67,Pelecaniformes,Ardeidae,Ardea_goliath,Ardea_goliath,201,NA,235,107,103,277,208,MCZ_1452,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",4468,Aquatic ground,Aquatic predator,Wetland,184.2,Semialtricial,Phaethoquornithes
68,Pelecaniformes,Ardeidae,Ardea_herodias,Ardea_herodias,195,NA,221,102,103.5,240,173,MCZ_7038,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",2523.4,Aquatic ground,Aquatic predator,Wetland,169.5,Semialtricial,Phaethoquornithes
69,Pelecaniformes,Ardeidae,Botarus_stellaris,Botaurus_stellaris,138,NA,144,77,101,155,99,MCZ_2064,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",1319.5,Aquatic ground,Aquatic predator,Wetland,101.2,Semialtricial,Phaethoquornithes
70,Pelecaniformes,Ardeidae,Botaurus_lentiginosus,Botaurus_lentiginosus,114,NA,119,67,81,135,94,MCZ_1759,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",706,Aquatic ground,Aquatic predator,Wetland,84.7,Semialtricial,Phaethoquornithes
71,Pelecaniformes,Ardeidae,Butorides_striata,Butorides_striata,65.9,NA,67.4,34.5,47.8,72,48.5,MCZ_3573,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",201.5,Aquatic ground,Aquatic predator,Wetland,53.2,Semialtricial,Phaethoquornithes
72,Pelecaniformes,Ardeidae,Butorides_virescens,Butorides_virescens,72.4,NA,78.2,42,51.4,85,54.4,MCZ_1860,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",201.5,Aquatic ground,NA,NA,NA,Semialtricial,Phaethoquornithes
73,Pelecaniformes,Ardeidae,Ardea_alba,Casmerodius_albus,144,NA,166,76,75,195,148,MCZ_6731,"Gatesy S.M. & Middleton K.M., 1997. J.Vert.Paleo, 17(2): 306-329;Middleton K.M. & Gatesy S.M., 2000. Zoo.J.Linn.Soc, 128: 149-187.",871.33,Aquatic ground,NA,NA,NA,Semialtricial,Phaethoquornithes
