,Order,Family,Species,JetzTreeName,Humerus_length_mm,Ulna_length_mm,Radius_length_mm,Carpometacarpus_length_mm,Femur_length_mm,Tibiotarsus_length_mm,Tarsometatarsus_length_mm,Spec_no.,Reference,Body_mass_g,Foraging_niche,TrophicEcology,Habitat,Kipps.dist,Ontogeny,Magnificent7
709,Galliformes,Phasianidae,Tragopan_temminckii,Tragopan_temminckii,64.06,62.73,55.98,35.44,71.27,100.51,62.39,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",1163.4,Generalist,Herbivore terrestrial,Forest,45.2,Precocial_2,Galloanseres
710,Galliformes,Phasianidae,Tympanuchus_phasianellus,Tympanuchus_phasianellus,65.25,61.49,55.31,36.24,67.08,86.06,43.62,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",882.4,Herbivore ground,Herbivore terrestrial,Grassland,79.4,Precocial_2,Galloanseres
711,Gruiformes,Rallidae,Amaurornis_flavirostra,Amaurornis_flavirostra,32.37,26.64,24.46,18.95,35.08,56.23,40.25,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",86.2,Aquatic ground,NA,NA,NA,Precocial_3,Cursorimorphae
712,Gruiformes,Rallidae,Coturnicops_noveboracensis,Coturnicops_noveboracensis,28.52,23.9,22.19,16.32,28.86,36.14,22.7,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",60.9,NA,Omnivore,Wetland,22.4,Precocial_3,Cursorimorphae
713,Gruiformes,Rallidae,Gallirallus_owstoni,Gallirallus_owstoni,46.77,39.16,35.97,24.72,55.85,77.28,50.83,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",226.03,NA,NA,NA,NA,Precocial_3,Cursorimorphae
714,Gruiformes,Gruidae,Grus_grus,Grus_grus,238,270,258,115.94,125.54,279.5,245,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",5500,NA,Omnivore,Wetland,225.5,Precocial_3,Cursorimorphae
715,Otidiformes,Otididae,Ardeotis_kori,Ardeotis_kori,267.5,317.5,299.5,134.59,145.52,302,253,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",7994.2,NA,Omnivore,Grassland,274.2,Precocial_3,Columbaves
716,Struthioniformes,Casuariidae,Casuarius_casuarius,Casuarius_casuarius,77.93,42.68,36.96,17.11,226,281.5,207.4,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",44000,Fugivore ground,Frugivore,Forest,0.2,Precocial_1,Palaeognathae
717,Tinamiformes,Tinamidae,Nothoprocta_pentlandii,Nothoprocta_pentlandii,73.96,81.68,79.11,40.38,60.72,83.17,42.1,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",300.7,NA,Omnivore,Shrubland,33.5,Precocial_1,Palaeognathae
719,Passeriformes,Motacillidae,Anthus_richardi,Anthus_richardi,21.96,28.24,25.47,12.86,18.95,34.25,28.26,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",32.2,Invertivore ground,Invertivore,Grassland,26.6,Altricial_2,Telluraves
